,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
224,Genomics and Experimental Medicine,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDGENEX1F,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",839
225,GeoEnergy,PTMSCGEOEN1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGEOEN1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£16,100', 'Rest of UK': '£16,100', 'International/EU': '£32,000', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",944
226,Geographical Information Science,PTMSCGISCI1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGISCI1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£16,100', 'Rest of UK': '£16,100', 'International/EU': '£32,000', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",74
227,Geology and Geophysics,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDGEOGE1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",69
228,Geometry and Topology,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATST4F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",512
229,GeoSciences (Individual Project - Taught Pathway),No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCGEOIP2F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",1001
230,GeoSciences (Individual Project),No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCGSATS1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",84
231,Geriatric Medicine,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDRA6F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",214
232,German,PRMSCGRMST1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCGRMST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",257
233,German,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDGERMN1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1018
234,Global Challenges (Online Learning),PTMSCGLOCH1P,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGLOCH1P,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': ''}",923
235,"Global Crime, Justice and Security",PTMSCGLCJS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGLCJS1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",621
236,Global Development Challenges (Online Learning),PTPGCGLDEV2P,"PgCert (ICL), PgCert",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCGLDEV2P,Social & Political Science,"Arts, Humanities & Social Sciences",Not applicable,761
237,Global Environment and Climate Change Law,PTLLMGLENV1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMGLENV1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",642
238,Global Environment Challenges (Online Learning),PTPGCGLECH1P,PgCert,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCGLECH1P,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': ''}",798
239,"Global Environment, Politics and Society",PTMSCGLEPS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGLEPS1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",811
240,Global Food Security and Nutrition (Online Learning),PTMSCGFSAN1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGFSAN1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,959
241,Global Health,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDGLOBH2F,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",698
242,Global Health and Infectious Diseases (Online Learning),PTMSCGLOID1U,"MSc, PgDip (ICL), PgCert (ICL), PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGLOID1U,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,Not applicable,413
243,Global Health Challenges (Online Learning),PTPGCGLOHC2P,"PgCert (ICL), PgCert, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCGLOHC2P,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,Not applicable,793
244,Global Health Policy,PTMSCGLOHP2F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGLOHP2F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",384
245,Global Health Policy,PRPHDGLOHP1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDGLOHP1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",398
246,Global Health Policy (Online Learning),PTMSCGLOBH4P,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGLOBH4P,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,000', 'Additional Programme Costs': ''}",780
247,Global Health Studies (Online Learning),PTPGCGLOHS1P,"PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCGLOHS1P,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,Not applicable,702
248,Global Mental Health and Society,PTMSCGMNHS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCGMNHS1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",991
249,"Global Premodern Art: History, Heritage and Curation",PTMSCRMRGH1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCRMRGH1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1037
